"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,0,0.7,1,0.647719111260932,0.793377650181335,1,0.595596179257401
1,0,0.7,0.610540229658533,0.647719111260932,0.793377650181335,1,0.595596179257401
1,0,0.7,0.372759372031494,0.516701924318239,0.670665324989259,2,0.696224915562727
1,0,0.7,0.227584592607479,0.39131974899852,0.537215602949053,2,0.784842026677273
1,0,0.7,0.138949549437314,0.334573791921044,0.469748811049477,2,0.818866114682986
1,0,0.7,0.0848342898244071,0.311969019062231,0.436452613023388,2.02127659574468,0.830743577780002
1,0,0.7,0.0517947467923121,0.305043423862838,0.420628525476511,2.1063829787234,0.833976103997134
1,0,0.7,0.0316227766016838,0.310733201573726,0.424439276913423,2.85106382978723,0.83024700645099
1,0,0.7,0.0193069772888325,0.33613217687764,0.451625720024862,4.25531914893617,0.815342915467114
1,0,0.7,0.0117876863479359,0.351676576084914,0.479037723639767,5,0.806540611967579
1,0,0.7,0.00719685673001152,0.357890889248416,0.492679864899889,5.93617021276596,0.803423704661445
1,0,0.7,0.00439397056076079,0.353751247201736,0.489885202615994,5.97872340425532,0.80625021342965
1,0,0.7,0.00268269579527972,0.351714198010076,0.488620993386267,5.97872340425532,0.807747466316048
1,0,0.7,0.00163789370695406,0.350955100131293,0.488497459132077,6,0.808418118663293
1,0,0.7,0.000999999999999999,0.350843899937933,0.489292148980786,6,0.808639217220321
1,0.005,0.7,1,0.647166729309395,0.79299420862275,1,0.596054580216299
1,0.005,0.7,0.610540229658533,0.647166729309395,0.79299420862275,1,0.596054580216299
1,0.005,0.7,0.372759372031494,0.517258154149387,0.671326339055878,2,0.695790547623323
1,0.005,0.7,0.227584592607479,0.391531385252126,0.537487588530919,2,0.784688555349177
1,0.005,0.7,0.138949549437314,0.334606376183875,0.469830560947281,2,0.818847137023537
1,0.005,0.7,0.0848342898244071,0.311874586275605,0.436429211549632,2.02127659574468,0.830802079620151
