"Insample","time","variable","j0","V1","V2","V3","V4","V5","V6"
1,1,1,-0.0152905153370207,-0.167313545686671,0,0,-0.774052403411988,0,0
1,1,2,-0.00179877313546609,0.339651538870885,-1.49213353047985,0.881914736650846,-0.632771289271682,0,0
1,1,3,0.024410890773985,-0.121340586843435,-0.528116111758603,-0.167186058267623,0,0.0968735809590005,0.0257189995968132
1,1,4,0.0169005767082772,-0.0849822549971935,-0.260082432797364,0,-1.01124620223744,0,0
1,1,5,0.0012297212038013,-0.0219053208763158,0.00885535430901639,0.00837580833447398,0,-0.833814085378446,-0.198910245984281
1,1,6,-0.00230707623278534,-8.83844111680132e-05,0.0699103309582699,0,0.0548700658207053,-0.403923638597623,-0.497660088060605
1,2,1,-0.00482148539471408,-0.327681227867068,0,0,-0.644609670266243,0,0
1,2,2,-0.00318118898418401,-0.187125423864183,-0.701460225138603,-0.287938309683344,-0.15080179772154,1.16274401748818,-1.48072520588126
1,2,3,0.0148244979098867,0,-0.999765642156714,0.00156862120983487,0,0,0
1,2,4,0.000917713401747683,-0.515568917256549,-0.368851376122304,-0.168110221816563,-0.411946951669538,0,0
1,2,5,0.00940522984413389,0,0.036323712041996,0,0,-0.255989738488789,-0.662557376793155
1,2,6,-0.00646119858847943,0,0.202878590707877,0,0.255331055855714,-0.975954841103291,0.287244663212351
1,3,1,0.00819551947143002,-0.313729270137042,0,0,-0.550106541135622,0,0
1,3,2,0.00240543500977031,1.06825784978728,-1.2093210224653,0.730832968673625,-0.79240896821436,-0.853546740072885,1.29445999928012
1,3,3,0.0228156113888699,-0.126881875660218,-0.507571510604734,-0.167262319744916,0.0182280089658315,0.141490195734046,0.0224520425941215
1,3,4,-0.00294491855636141,-0.597098791713147,0,0,-0.677229989159912,0,0
1,3,5,0.000464365354249957,0,0,0,-0.022961981730926,-0.835738385116743,-0.192339246332461
1,3,6,-0.00152202251555963,0,0.0654857462546405,0,0.0576435096478478,-0.379886401950825,-0.522859690273825
1,4,1,-0.0204690371849047,-0.115980385135787,0,0,-0.788689568128549,0,0
1,4,2,-0.00828160957405644,0.112479381648987,-0.342625002103606,-0.273966710673976,-0.29856055535081,0,0
1,4,3,0.0178774595542936,0,-1.00891460558533,-0.0102542340469988,0,0,0
1,4,4,0.0158109370550052,-0.461862125087044,0,0,-0.744672558466437,0,0
1,4,5,0.0198830069985767,0.0251218417807809,0.146368570214735,0,0,-0.751933556705765,-0.0115566677158751
1,4,6,-0.00767128706142273,0,0.195750538701818,0,0.26075883558564,-1.10799003346942,0.411629480879265
1,5,1,-0.000651352511845921,-0.346805788997239,0,0,-0.673246040470981,0,0
1,5,2,0.00412488863950752,0.878985414819437,-0.945537803094535,0.622999085551967,-0.610111055791257,-0.497056977691162,1.13282473947274
1,5,3,0.0219462652291643,-0.109031142738523,-0.561617567662319,-0.150554312710821,0,0.134469863037082,0
1,5,4,-0.0016112084778474,0,-0.04804304487391,0,-0.535542654424313,0,0.387230406452471
1,5,5,-0.000854788228428938,0,0,0,0,-0.832562379162432,-0.169334888514865
1,5,6,-0.000829014983772247,0,0.0557337172539421,0,0.0454144688710715,-0.37358630619446,-0.55278109946688
1,6,1,-0.0205346634600971,-0.100649139162614,0,0,-0.789463300191177,0,0
