"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,0,0,1,0.456324442112091,0.60469897306051,6,0.738321961701042
1,0,0,0.610540229658533,0.430365173413064,0.578397768139261,6,0.755501856350285
1,0,0,0.372759372031494,0.407929315713949,0.553977902289937,6,0.769914647420586
1,0,0,0.227584592607479,0.388975629539078,0.532101317009488,6,0.781869284745385
1,0,0,0.138949549437314,0.373707393988069,0.51353591368384,6,0.791425508072714
1,0,0,0.0848342898244071,0.362427762701027,0.499204182472337,6,0.798532614350434
1,0,0,0.0517947467923121,0.354996854440053,0.489817547968667,6,0.803365445305841
1,0,0,0.0316227766016838,0.350759548256805,0.485191286748239,6,0.806347774130108
1,0,0,0.0193069772888325,0.348730056789673,0.483981969347836,6,0.808045534797117
1,0,0,0.0117876863479359,0.348056196423003,0.484575149202518,6,0.808922692685006
1,0,0,0.00719685673001152,0.348151552199499,0.485821286698372,6,0.809293065825186
1,0,0,0.00439397056076079,0.348632222047794,0.487109948790097,6,0.809364131973734
1,0,0,0.00268269579527972,0.349221566986857,0.488194309492879,6,0.809291797137107
1,0,0,0.00163789370695406,0.349751198579866,0.489010820987006,6,0.809179473707261
1,0,0,0.000999999999999999,0.350161991288242,0.489577063584411,6,0.809075099382386
1,0.005,0,1,0.456152294945931,0.604518191465507,6,0.738436465510708
1,0.005,0,0.610540229658533,0.43020025366332,0.578233712139921,6,0.755610698895779
1,0.005,0,0.372759372031494,0.407765362919123,0.553846807903639,6,0.770021661213195
1,0.005,0,0.227584592607479,0.388804607579885,0.532013696091267,6,0.781979080239409
1,0.005,0,0.138949549437314,0.373520195594833,0.513491241743188,6,0.791543203447806
1,0.005,0,0.0848342898244071,0.362216908794854,0.499189011304889,6,0.798662238598616
1,0.005,0,0.0517947467923121,0.35476031974229,0.489813683551969,6,0.803508033131871
1,0.005,0,0.0316227766016838,0.350504640959029,0.485192273571614,6,0.806498997176898
1,0.005,0,0.0193069772888325,0.348458103611213,0.483984094810899,6,0.808205041634901
1,0.005,0,0.0117876863479359,0.347774569464607,0.484577502671801,6,0.809087012305226
1,0.005,0,0.00719685673001152,0.347862762698931,0.485824747978096,6,0.809461082020257
1,0.005,0,0.00439397056076079,0.34833930073596,0.487114120416592,6,0.809534244588671
1,0.005,0,0.00268269579527972,0.348926089721471,0.488198847225945,6,0.809463313315604
1,0.005,0,0.00163789370695406,0.34945554509703,0.489015489199902,6,0.809351213852414
1,0.005,0,0.000999999999999999,0.349868431282838,0.489582254157364,6,0.809245770343374
1,0.01,0,1,0.455980732887134,0.604338512200149,6,0.738550569500257
1,0.01,0,0.610540229658533,0.430035853978785,0.578070623714646,6,0.755719194728561
1,0.01,0,0.372759372031494,0.40760192433466,0.553716546670789,6,0.770128341357773
1,0.01,0,0.227584592607479,0.388634068258354,0.531926886738991,6,0.782088584015596
1,0.01,0,0.138949549437314,0.373333636435963,0.513447369881098,6,0.791660507091433
1,0.01,0,0.0848342898244071,0.362008621992321,0.499174776892692,6,0.798790320861834
1,0.01,0,0.0517947467923121,0.354525271064685,0.489812018444794,6,0.80364969586724
1,0.01,0,0.0316227766016838,0.350251340384072,0.485194204654945,6,0.8066493118972
1,0.01,0,0.0193069772888325,0.348188481718164,0.483986643312821,6,0.808363361173565
1,0.01,0,0.0117876863479359,0.347492299512757,0.484580724893874,6,0.80925164737285
1,0.01,0,0.00719685673001152,0.347575042120794,0.485829219772366,6,0.809628361350185
1,0.01,0,0.00439397056076079,0.348047379277887,0.487119404337755,6,0.809703762020629
1,0.01,0,0.00268269579527972,0.348632370717919,0.488204392615691,6,0.809633825406148
1,0.01,0,0.00163789370695406,0.34916135674234,0.489021043359427,6,0.809522041389649
1,0.01,0,0.000999999999999999,0.349574501232051,0.48958806218486,6,0.809416460826167
1,0.05,0,1,0.454625967931572,0.602936003778964,6,0.739451438912876
1,0.05,0,0.610540229658533,0.428739099277998,0.576800356397877,6,0.756574891955295
1,0.05,0,0.372759372031494,0.406314526138409,0.552704131084055,6,0.770968796398586
1,0.05,0,0.227584592607479,0.38729165014015,0.531258950370522,6,0.782950677657812
1,0.05,0,0.138949549437314,0.371876031829593,0.513139001354313,6,0.792577379547966
1,0.05,0,0.0848342898244071,0.360358872319799,0.499097461611661,6,0.799805116063541
1,0.05,0,0.0517947467923121,0.352691201842873,0.489849857804025,6,0.804755119759229
1,0.05,0,0.0316227766016838,0.348245336549942,0.485256335161062,6,0.8078395771375
1,0.05,0,0.0193069772888325,0.346062600868865,0.484049756093602,6,0.809611384023669
1,0.05,0,0.0117876863479359,0.34527361656314,0.484651126992,6,0.810545902609106
1,0.05,0,0.00719685673001152,0.345304535500585,0.485903800344027,6,0.810948677276399
1,0.05,0,0.00439397056076079,0.345742465121644,0.487198430297813,6,0.811041876478297
1,0.05,0,0.00268269579527972,0.34631205885537,0.488286357765575,6,0.81098051802722
1,0.05,0,0.00163789370695406,0.346834086486348,0.48909870417603,6,0.810872742003982
1,0.05,0,0.000999999999999999,0.347250896194981,0.489666216980256,6,0.810766092218472
1,0.1,0,1,0.452993383547147,0.601296759889759,6,0.740535581950699
1,0.1,0,0.610540229658533,0.42716305429714,0.575296876784553,6,0.75761475996858
1,0.1,0,0.372759372031494,0.404757084340791,0.551533413171231,6,0.771985979430974
1,0.1,0,0.227584592607479,0.385662429000515,0.530493006189864,6,0.783997796003934
1,0.1,0,0.138949549437314,0.370094986392681,0.512804139050202,6,0.793698832569126
1,0.1,0,0.0848342898244071,0.358365853313283,0.49909622320597,6,0.801032153499508
1,0.1,0,0.0517947467923121,0.35046846919868,0.490003360606249,6,0.806095650325373
1,0.1,0,0.0316227766016838,0.345821329507812,0.485445941773239,6,0.809278092084044
1,0.1,0,0.0193069772888325,0.343481251892909,0.484238351842412,6,0.811127091245765
1,0.1,0,0.0117876863479359,0.342585069687586,0.484840385040253,6,0.812113991032585
1,0.1,0,0.00719685673001152,0.342545892929661,0.486103759683637,6,0.812552388663316
1,0.1,0,0.00439397056076079,0.342947426403757,0.487402758038343,6,0.812664122536156
1,0.1,0,0.00268269579527972,0.343505639969014,0.488493447310332,6,0.812609074608283
1,0.1,0,0.00163789370695406,0.344024572196839,0.48930219347211,6,0.812504001361232
1,0.1,0,0.000999999999999999,0.344438094112837,0.489871044120452,6,0.812399825149745
1,0.25,0,1,0.448381313590091,0.596928076896419,6,0.743597328988641
1,0.25,0,0.610540229658533,0.422713664406923,0.571317509082974,6,0.760551497633785
1,0.25,0,0.372759372031494,0.400344705661402,0.548422220943037,6,0.774871691017946
1,0.25,0,0.227584592607479,0.381090308868262,0.52861015337311,6,0.786943350940222
1,0.25,0,0.138949549437314,0.36511845513447,0.512237498363405,6,0.796841137942853
1,0.25,0,0.0848342898244071,0.352787174214873,0.499560678178233,6,0.804476405258877
1,0.25,0,0.0517947467923121,0.3442142953151,0.490995905219662,6,0.809876058343012
1,0.25,0,0.0316227766016838,0.338981781305466,0.486603244403542,6,0.813343270959699
1,0.25,0,0.0193069772888325,0.33622455337518,0.485428683533971,6,0.815390629033133
1,0.25,0,0.0117876863479359,0.335044513415245,0.48605116322942,6,0.816514112820113
1,0.25,0,0.00719685673001152,0.334832343247431,0.487341264136004,6,0.817036809690569
1,0.25,0,0.00439397056076079,0.335142634763563,0.488659739419365,6,0.817195251693946
1,0.25,0,0.00268269579527972,0.335664233567336,0.489745354143152,6,0.817160139812711
1,0.25,0,0.00163789370695406,0.336186825164102,0.490552565794509,6,0.817055411119875
1,0.25,0,0.000999999999999999,0.336613289080649,0.491110980333857,6,0.81694640699023
1,0.5,0,1,0.441565195454052,0.591345413875661,6,0.748125401590704
1,0.5,0,0.610540229658533,0.41612252872855,0.566277608075532,6,0.764915420028792
1,0.5,0,0.372759372031494,0.393813615802216,0.54461628350458,6,0.779165759524148
1,0.5,0,0.227584592607479,0.374423873162168,0.526713169508843,6,0.79127015062979
1,0.5,0,0.138949549437314,0.357970734935692,0.512570712975134,6,0.801394637940826
1,0.5,0,0.0848342898244071,0.344783975474107,0.501792731394404,6,0.809461079731
1,0.5,0,0.0517947467923121,0.335213449999575,0.494390804076924,6,0.815357116311335
1,0.5,0,0.0316227766016838,0.329084824048652,0.490430569322182,6,0.819257149777496
1,0.5,0,0.0193069772888325,0.325697473863813,0.489370626579981,6,0.821597695019955
1,0.5,0,0.0117876863479359,0.32413694628567,0.490048138416949,6,0.82289347261871
1,0.5,0,0.00719685673001152,0.323705178269804,0.491377352144893,6,0.823517110005637
1,0.5,0,0.00439397056076079,0.323924596875208,0.492722679944847,6,0.823718016790792
1,0.5,0,0.00268269579527972,0.324431449201756,0.493832349528852,6,0.823691014091502
1,0.5,0,0.00163789370695406,0.324992512579646,0.494638764599772,6,0.823567766068347
1,0.5,0,0.000999999999999999,0.325460581522568,0.495192502448519,6,0.823439826210411
1,0.75,0,1,0.435586337398069,0.587427896886424,6,0.752116928478954
1,0.75,0,0.610540229658533,0.410328967202839,0.56282260884672,6,0.768782091203894
1,0.75,0,0.372759372031494,0.388165627604992,0.542294217598473,6,0.782921663369529
1,0.75,0,0.227584592607479,0.36881705941161,0.526175504051387,6,0.794963352465279
1,0.75,0,0.138949549437314,0.352105624849263,0.514203147449582,6,0.805196991257528
1,0.75,0,0.0848342898244071,0.338304002651415,0.505510574621002,6,0.813570000097173
1,0.75,0,0.0517947467923121,0.327874595874075,0.499551532825432,6,0.819897163601633
1,0.75,0,0.0316227766016838,0.320937130526572,0.496258479228671,6,0.8241869929035
