"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,0,0.9,1,0.647719111260932,0.793377650181335,1,0.595596179257401
1,0,0.9,0.610540229658533,0.647719111260932,0.793377650181335,1,0.595596179257401
1,0,0.9,0.372759372031494,0.619902369217081,0.779494275614899,2,0.617437185753151
1,0,0.9,0.227584592607479,0.423273572752109,0.572638352207726,2,0.763548327615005
1,0,0.9,0.138949549437314,0.344548338213877,0.482326202273823,2,0.813200567999875
1,0,0.9,0.0848342898244071,0.313906401189303,0.440923693359682,2,0.829792189366608
1,0,0.9,0.0517947467923121,0.304050965939617,0.42188603514192,2.02127659574468,0.834649006392873
1,0,0.9,0.0316227766016838,0.30337223696821,0.415988422918685,2.21276595744681,0.83468828752087
1,0,0.9,0.0193069772888325,0.326186814175443,0.440828759963745,3.70212765957447,0.821215102573071
1,0,0.9,0.0117876863479359,0.347383307147854,0.469347695364899,4.82978723404255,0.809019311361164
1,0,0.9,0.00719685673001152,0.35933017616561,0.491082533255402,5.82978723404255,0.802498965295989
1,0,0.9,0.00439397056076079,0.356267748036994,0.492319657906729,5.97872340425532,0.804748243323164
1,0,0.9,0.00268269579527972,0.35289527278683,0.489576142056184,5.97872340425532,0.80703211617774
1,0,0.9,0.00163789370695406,0.351537041675218,0.488757607521793,5.97872340425532,0.808059305293336
1,0,0.9,0.000999999999999999,0.351125473623981,0.489162461815578,6,0.808462492983564
1,0.005,0.9,1,0.647166729309395,0.79299420862275,1,0.596054580216299
1,0.005,0.9,0.610540229658533,0.647166729309395,0.79299420862275,1,0.596054580216299
1,0.005,0.9,0.372759372031494,0.620971444473263,0.780752666337784,2,0.616636732042868
1,0.005,0.9,0.227584592607479,0.423648968762425,0.573087961747056,2,0.763270846621781
1,0.005,0.9,0.138949549437314,0.344631304304651,0.482464179161786,2,0.813148981404454
1,0.005,0.9,0.0848342898244071,0.313873954459365,0.440933613464786,2,0.829815272650746
1,0.005,0.9,0.0517947467923121,0.303931048126007,0.421832341875932,2.02127659574468,0.83472170401536
1,0.005,0.9,0.0316227766016838,0.303195055735438,0.415828819259276,2.21276595744681,0.834793702079458
1,0.005,0.9,0.0193069772888325,0.325873494185841,0.440577908319372,3.70212765957447,0.821399779387707
1,0.005,0.9,0.0117876863479359,0.347102670776005,0.469087217714774,4.82978723404255,0.809185977115312
1,0.005,0.9,0.00719685673001152,0.358963519242081,0.490904119598778,5.82978723404255,0.802711005371205
1,0.005,0.9,0.00439397056076079,0.355937234133645,0.492357727775812,5.97872340425532,0.804939363806484
1,0.005,0.9,0.00268269579527972,0.352573666678682,0.489586348206501,5.97872340425532,0.807217871999256
1,0.005,0.9,0.00163789370695406,0.351225050668664,0.488755915710255,5.97872340425532,0.80824024481928
1,0.005,0.9,0.000999999999999999,0.350815967378136,0.489163369732754,6,0.808642191205006
1,0.01,0.9,1,0.646616796110461,0.792612279720402,1,0.596510656276683
1,0.01,0.9,0.610540229658533,0.646616796110461,0.792612279720402,1,0.596510656276683
1,0.01,0.9,0.372759372031494,0.622051157382694,0.782027118838973,2,0.615829509254757
1,0.01,0.9,0.227584592607479,0.424026448687799,0.57354008868239,2,0.762991829790622
1,0.01,0.9,0.138949549437314,0.344715783579446,0.48260333902472,2,0.8130963469015
1,0.01,0.9,0.0848342898244071,0.313841968400761,0.440944243828193,2,0.829838094022671
1,0.01,0.9,0.0517947467923121,0.303811484509825,0.42177929622625,2.02127659574468,0.834794201787625
1,0.01,0.9,0.0316227766016838,0.303019226716141,0.415669058794075,2.21276595744681,0.83489836353216
1,0.01,0.9,0.0193069772888325,0.32554930584783,0.440313818707962,3.70212765957447,0.821591003364047
1,0.01,0.9,0.0117876863479359,0.346814008837318,0.468825673339453,4.82978723404255,0.809357201560831
1,0.01,0.9,0.00719685673001152,0.35857631189221,0.490737324378822,5.82978723404255,0.802937145853983
1,0.01,0.9,0.00439397056076079,0.355617252528594,0.492402617450425,5.97872340425532,0.805124313683515
1,0.01,0.9,0.00268269579527972,0.352252524638388,0.489602044422334,5.97872340425532,0.807403492120499
1,0.01,0.9,0.00163789370695406,0.350910168167068,0.488756600068465,5.97872340425532,0.808422501445567
1,0.01,0.9,0.000999999999999999,0.350512231352715,0.489172942576284,6,0.808818010239209
1,0.05,0.9,1,0.64230350721882,0.789609922360702,1,0.600077666147156
1,0.05,0.9,0.610540229658533,0.64230350721882,0.789609922360702,1,0.600077666147156
